Stock1,Stock2,P-Value,Cluster,Sector
NCLH,CCL,0.08936,consumer_discretionary_2,consumer_discretionary
LEN,DHI,0.00984,consumer_discretionary_3,consumer_discretionary
CL,KMB,0.01895,consumer_staples_1,consumer_staples
CL,KO,0.00991,consumer_staples_1,consumer_staples
CL,MDLZ,0.00625,consumer_staples_1,consumer_staples
CL,PEP,0.01037,consumer_staples_1,consumer_staples
CL,PG,0.01307,consumer_staples_1,consumer_staples
KMB,KO,0.09025,consumer_staples_1,consumer_staples
KMB,MDLZ,0.08064,consumer_staples_1,consumer_staples
KMB,PEP,0.07642,consumer_staples_1,consumer_staples
AIG,CB,0.06507,financials_0,financials
AIG,HIG,0.02105,financials_0,financials
CB,HIG,0.06514,financials_0,financials
HBAN,KEY,0.08814,financials_3,financials
HBAN,RF,0.09937,financials_3,financials
HBAN,CFG,0.06959,financials_3,financials
HBAN,BAC,0.09666,financials_3,financials
HBAN,PNC,0.07732,financials_3,financials
WFC,TFC,0.09808,financials_3,financials
WFC,FITB,0.05895,financials_3,financials
WFC,BAC,0.09261,financials_3,financials
WFC,PNC,0.07723,financials_3,financials
TFC,PNC,0.09234,financials_3,financials
FITB,PNC,0.04318,financials_3,financials
BAC,PNC,0.01934,financials_3,financials
PNC,USB,0.01036,financials_3,financials
COF,C,0.04156,financials_5,financials
C,SYF,0.01612,financials_5,financials
FISV,MA,0.05335,financials_7,financials
FISV,V,0.00693,financials_7,financials
MA,V,0.04469,financials_7,financials
IQV,DHR,0.07502,health_care_0,health_care
IQV,ZTS,0.07578,health_care_0,health_care
JNJ,ABBV,0.0469,health_care_1,health_care
CVS,CNC,0.05342,health_care_3,health_care
ELV,UNH,0.09293,health_care_3,health_care
CI,HUM,0.06845,health_care_3,health_care
CSX,AME,0.09647,industrials_1,industrials
CSX,UNP,0.01588,industrials_1,industrials
ADI,MCHP,0.05835,information_technology_1,information_technology
AMAT,NXPI,0.0084,information_technology_1,information_technology
LRCX,NXPI,0.02249,information_technology_1,information_technology
TXN,QCOM,0.04296,information_technology_1,information_technology
TXN,NXPI,0.09638,information_technology_1,information_technology
TEL,INTC,0.09528,information_technology_3,information_technology
NOW,WDAY,0.09715,information_technology_4,information_technology
WDAY,CRM,0.09083,information_technology_4,information_technology
BALL,IFF,0.04015,materials_0,materials
ADBE,INTU,0.07262,tech_0,tech
ADBE,NOW,0.03126,tech_0,tech
ADSK,CRM,0.00131,tech_0,tech
ADSK,FICO,0.00034,tech_0,tech
ADSK,MSI,0.00081,tech_0,tech
ADSK,IT,0.0003,tech_0,tech
ADSK,INTU,0.00137,tech_0,tech
ADSK,MSFT,0.00219,tech_0,tech
ADSK,NOW,0.00083,tech_0,tech
ADSK,ROP,0.00153,tech_0,tech
ADSK,PTC,0.00035,tech_0,tech
ADSK,VRSN,0.01304,tech_0,tech
ADSK,TYL,0.05303,tech_0,tech
CRM,MSFT,0.05701,tech_0,tech
CRM,NOW,0.0429,tech_0,tech
CRM,ROP,0.09362,tech_0,tech
FICO,MSI,0.04375,tech_0,tech
FICO,PTC,0.00108,tech_0,tech
IT,PTC,0.06934,tech_0,tech
INTU,MSFT,0.04374,tech_0,tech
INTU,NOW,0.04037,tech_0,tech
INTU,ROP,0.01639,tech_0,tech
INTU,PTC,0.03938,tech_0,tech
NOW,ROP,0.06221,tech_0,tech
MCHP,ADI,0.03829,tech_1,tech
QRVO,TXN,0.0884,tech_1,tech
QRVO,ADI,0.06028,tech_1,tech
QRVO,ON,0.06127,tech_1,tech
QCOM,ADI,0.06025,tech_1,tech
QCOM,ON,0.01801,tech_1,tech
TXN,SWKS,0.05444,tech_1,tech
TXN,TER,0.04333,tech_1,tech
TXN,ADI,0.04645,tech_1,tech
TXN,ON,0.0262,tech_1,tech
SWKS,TER,0.03482,tech_1,tech
TER,ADI,0.00076,tech_1,tech
TER,ON,0.00138,tech_1,tech
AEP,ETR,0.01122,utilities_0,utilities
AEP,XEL,0.09743,utilities_0,utilities
CMS,DUK,0.03037,utilities_0,utilities
CMS,ETR,0.04542,utilities_0,utilities
CNP,ED,0.03514,utilities_0,utilities
CNP,SO,0.07253,utilities_0,utilities
DUK,ETR,0.01808,utilities_0,utilities
ETR,FE,0.02648,utilities_0,utilities
ETR,EXC,0.09979,utilities_0,utilities
ETR,NI,0.09772,utilities_0,utilities
ETR,XEL,0.04767,utilities_0,utilities
FE,EXC,0.05204,utilities_0,utilities
FE,NI,0.02666,utilities_0,utilities
FE,XEL,0.05047,utilities_0,utilities
EXC,NI,0.02881,utilities_0,utilities
PPL,SO,0.07156,utilities_0,utilities
PPL,NI,0.03265,utilities_0,utilities
PPL,SRE,0.02619,utilities_0,utilities
PPL,XEL,0.01662,utilities_0,utilities
